Performance by Symbol,Data,Total ETFs,,,,92.143235899,1.529646751,1.493879756,"-14,303.28",-779.68,
Performance by Symbol,Data,USD,United States Dollar,Cash,Cash,7.856764101,4.598378801,0.059609999,,,Yes
Performance by Symbol,Data,Total Cash,,,,7.856764101,4.598378801,0.059609999,,,
Performance by Symbol,Data,Total,,,,100,1.554365607,1.554365607,"-14,303.28",-779.68,
Trade Summary,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Trade Summary,Header,Financial Instrument,Currency,Symbol,Description,Sector,Quantity Bought,Average Price Bought,Proceeds Bought,Proceeds Bought in Base,Quantity Sold,Average Price Sold,Proceeds Sold,Proceeds Sold in Base
Trade Summary,Data,ETFs,United States Dollar,BCI,ABRDN BLOOMBERG ALL COMMODIT,Basic Materials,5371,22.065,-118511.115,-118511.115,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,BND,VANGUARD TOTAL BOND MARKET,Broad,3168,74.795,-236950.56,-236950.56,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,ICSH,ISHARES ULTRA SHORT DURATION,Broad,0,0,0,0,-39509,50.705,2003303.845,2003303.845
Trade Summary,Data,ETFs,United States Dollar,IJR,ISHARES CORE S&P SMALL-CAP E,Broad,495,119.548939394,-59176.725,-59176.725,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,IMTM,ISHARES MSCI INTL MOMENTUM F,Broad,1130,47.185707965,-53319.85,-53319.85,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,MTUM,ISHARES MSCI USA MOMENTUM FA,Broad,50,240.475,-12023.75,-12023.75,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,QUAL,ISHARES MSCI USA QUALITY FAC,Broad,366,194.34,-71128.44,-71128.44,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,USMV,ISHARES MSCI USA MIN VOL FAC,Broad,251,94.355,-23683.105,-23683.105,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VBR,VANGUARD SMALL-CAP VALUE ETF,Financials,154,210.182305195,-32368.075,-32368.075,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VEA,VANGUARD FTSE DEVELOPED ETF,Broad,2651,60.345,-159974.595,-159974.595,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VFVA,VANGUARD U.S. VALUE FACTOR,Broad,43,129.405581395,-5564.44,-5564.44,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VGIT,VANGUARD INTERMEDIATE-TERM T,Broad,4311,60.485,-260750.835,-260750.835,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VGSH,VANGUARD SHORT-TERM TREASURY,Broad,17700,58.905,-1042618.5,-1042618.5,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VNQ,VANGUARD REAL ESTATE ETF,Real Estate,1305,90.805,-118500.525,-118500.525,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VTV,VANGUARD VALUE ETF,Broad,170,188.255,-32003.35,-32003.35,0,0,0,0
Trade Summary,Data,ETFs,United States Dollar,VWO,VANGUARD FTSE EMERGING MARKE,Broad,2656,53.525,-142162.4,-142162.4,0,0,0,0
Dividends,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Dividends,Header,PayDate,Ex-Date,Symbol,Quantity,DividendPerShare,Amount
Dividends,Data,20251006,20251001,ICSH,39509,0.19,7487.71
Dividends,Data,20251106,20251103,ICSH,39509,0.19,7393.95
Dividends,Data,20251203,20251201,BND,3168,0.24,755.8
Dividends,Data,20251203,20251201,VGSH,17700,0.19,3281.58
Dividends,Data,20251203,20251201,VGIT,4311,0.19,801.41
Dividends,Data,20251219,20251216,QUAL,366,0.61,223.64
Dividends,Data,20251219,20251216,MTUM,50,0.67,33.54
Dividends,Data,20251219,20251216,USMV,251,0.39,98.02
Dividends,Data,20251219,20251216,IJR,495,0.57,282.97
Dividends,Data,20251222,20251218,VGSH,17700,0.19,3368.31
Dividends,Data,20251222,20251218,BND,3168,0.25,781.35
Dividends,Data,20251222,20251218,VGIT,4311,0.19,835.9
Dividends,Data,20251219,20251216,IMTM,1130,1.72,1945.22
Dividends,Data,20251223,20251219,VEA,2651,1.04,2757.04
Dividends,Data,20251223,20251219,VWO,2656,1.03,2742.32
Dividends,Data,20251224,20251222,VTV,170,0.99,167.65
Dividends,Data,20251224,20251222,VNQ,1305,0.80,1044.65
Dividends,Data,20251224,20251222,VBR,154,1.06,162.65
Dividends,Data,20251226,20251223,VFVA,43,0.78,33.33
Dividends,Data,20251231,20251230,BCI,5371,3.22,17293.33
Interest Details,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Interest Details,Header,Date,Description,Amount
Interest Details,Data,20251003,USD Credit Interest Received for September 2025,768.04
Interest Details,Data,20251105,USD Credit Interest Received for October 2025,772.54
Interest Details,Data,20251203,USD Credit Interest Received for November 2025,604.21
Notes and Disclosure,Header,Type,Note
Notes and Disclosure,Data,General,"1. The Net Asset Value (NAV) consists of all positions by financial instrument (stock, securities options, warrants, bonds, cash, etc.). All non-base currency amounts are converted to the base currency at the close of period rate."
Notes and Disclosure,Data,General,2. The gain or loss from future contracts settle into cash each night. The notional value is used when computing the contribution to return.
Notes and Disclosure,Data,General,"3. Dividend accruals, interest accruals, and insured deposits are included in cash amounts throughout the report."
Notes and Disclosure,Data,General,4. Price valuations are obtained from outside parties. Clearing Broker shall have no responsibility for the accuracy or timeliness of any such price valuation.
Notes and Disclosure,Data,General,5. Data from Thomson Reuters Business Classifications and Lipper Global is used to derive our sector classifications. Funds with assorted sector allocations are classified as Broad.
Notes and Disclosure,Data,General,"6. Amounts are formatted to two decimal places. If amounts are greater than two decimal places, Clearing Broker uses "half-even" rounding. This means that Clearing Broker rounds such amounts up to the nearest even number."
Notes and Disclosure,Data,General,"7. For accounts opened and funded before 2009, reports with a time period of Since Inception will only include data going back to January 1, 2009. This includes some default reports and both Historical Performance reports."
Notes and Disclosure,Data,General,"8. If you have elected to trade cryptocurrency/digital asset products at Crypto Provider through the Clearing Broker platform, for your convenience your positions in your linked account at Crypto Provider are reflected in PortfolioAnalyst in connection with your Clearing Broker account."
Notes and Disclosure,Data,Section,1. Account Overview: The deposit/withdrawal amount displayed includes internal transfers along with cash and position transfers.
Notes and Disclosure,Data,Section,"2. Risk Measures: Historical US 3 Month Treasury Bill rates are used as the risk free rates when calculating Alpha, the Sharpe ratio, the Sortino ratio, and the downside deviation."
Notes and Disclosure,Data,Disclosure,"This portfolio report was generated using Clearing Broker's PortfolioAnalyst tool, which allows Clearing Broker clients to generate analyses of their accounts using market data provided by third parties along with trade and account data contained in Clearing Broker's systems. This report is for information purposes only and is provided AS IS. Clearing Broker makes no warranty of any kind, express or implied, as to this report and its contents. The data provided for use in the PortfolioAnalyst tool is believed to be accurate, but completeness and accuracy of the information is not guaranteed, and Clearing Broker has no liability with respect thereto. The data regarding accounts held outside of Clearing Broker is obtained either directly from your input or from the financial institutions holding those accounts through a third-party service provider and Clearing Broker has NOT reviewed its accuracy.

The material in this report is intended only as a reference and should not be relied upon for the maintenance of your books and records for tax, accounting, financial, or regulatory reporting or for any other purposes. This report is not an offer or a solicitation of an offer to buy or sell any security. This material does not, and is not intended to, take into account the particular financial conditions, investment objectives, or requirements of individual customers. Before acting on any material within this report, you should consider whether it is suitable for your particular circumstances and as necessary, seek professional advice."
